t	Quarter	SRC	TotalRequired	TotalFilled	Overlapping	Deployed	DemandName	Vignette	DemandGroup	ACFilled	RCFilled	NGFilled	GhostFilled	OtherFilled	ACOverlap	RCOverlap	NGOverlap	GhostOverlap	OtherOverlap	deltaT
21	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
22	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
22	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
22	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
22	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
23	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
23	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
23	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
23	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
24	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
24	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
24	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
24	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
25	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
25	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
25	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
25	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
26	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
26	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
26	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
26	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
27	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
27	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
27	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
27	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
28	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
28	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
28	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
28	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
29	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
29	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
29	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
29	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
30	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
30	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
30	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
30	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
31	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
31	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
31	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
31	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
32	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
32	1	01205K000	1	1	0	1	11018_Miniature Med_01205K000_[1...631]	Miniature Med	Molly	0	0	1	0	0	0	0	0	0	0	1
32	1	01205K000	1	1	0	1	12247_Taco_01205K000_[1...4746]	Taco	Molly	1	0	0	0	0	0	0	0	0	0	1
32	1	01205K000	2	2	0	2	11820_Cotentin_01205K000_[1...821]	Cotentin	Molly	0	0	2	0	0	0	0	0	0	0	1
33	1	01205K000	1	1	0	1	11433_Coco_01205K000_[1...760]	Coco	Molly	1	0	0	0	0	0	0	0	0	0	1
